,trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type,c_subscription_type,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,member_birth_year,member_gender,bike_share_for_all_trip,start_station_geom,end_station_geom
0,201802092135083596,788,2018-02-09 21:35:08+00:00,10th Ave at E 15th St,222,2018-02-09 21:48:17+00:00,10th Ave at E 15th St,222,3596,,Subscriber,,37.7927143,-122.2487796,37.7927143,-122.2487796,1984,Male,Yes,POINT(-122.2487796 37.7927143),POINT(-122.2487796 37.7927143)
1,201712051457373349,584,2017-12-05 14:57:37+00:00,10th St at Fallon St,201,2017-12-05 15:07:22+00:00,10th Ave at E 15th St,222,3349,,Subscriber,,37.7976728,-122.2629973,37.7927143,-122.2487796,1984,Male,,POINT(-122.2629973 37.7976728),POINT(-122.2487796 37.7927143)
2,201802201913231257,596,2018-02-20 19:13:23+00:00,10th St at Fallon St,201,2018-02-20 19:23:19+00:00,10th Ave at E 15th St,222,1257,,Subscriber,,37.7976728,-122.2629973,37.7927143,-122.2487796,1984,Male,Yes,POINT(-122.2629973 37.7976728),POINT(-122.2487796 37.7927143)
3,201802281657253632,560,2018-02-28 16:57:25+00:00,10th St at Fallon St,201,2018-02-28 17:06:46+00:00,10th Ave at E 15th St,222,3632,,Subscriber,,37.7976728,-122.2629973,37.7927143,-122.2487796,1984,Male,Yes,POINT(-122.2629973 37.7976728),POINT(-122.2487796 37.7927143)
4,201711170046091337,497,2017-11-17 00:46:09+00:00,10th St at Fallon St,201,2017-11-17 00:54:26+00:00,10th Ave at E 15th St,222,1337,,Customer,,37.7976728,-122.2629973,37.7927143,-122.2487796,,,,POINT(-122.2629973 37.7976728),POINT(-122.2487796 37.7927143)
5,201708242325001279,1341,2017-08-24 23:25:00+00:00,10th St at Fallon St,201,2017-08-24 23:47:22+00:00,10th Ave at E 15th St,222,1279,,Subscriber,,37.7976728,-122.2629973,37.7927143,-122.2487796,1969,Male,,POINT(-122.2629973 37.7976728),POINT(-122.2487796 37.7927143)
6,201803141857032204,619,2018-03-14 18:57:03+00:00,13th St at Franklin St,338,2018-03-14 19:07:23+00:00,10th Ave at E 15th St,222,2204,,Customer,,37.80318908113163,-122.27057933807372,37.7927143,-122.2487796,1982,Other,No,POINT(-122.270579338074 37.8031890811316),POINT(-122.2487796 37.7927143)
7,20180408155601183,1105,2018-04-08 15:56:01+00:00,13th St at Franklin St,338,2018-04-08 16:14:26+00:00,10th Ave at E 15th St,222,183,,Subscriber,,37.80318908113163,-122.27057933807372,37.7927143,-122.2487796,1987,Female,No,POINT(-122.270579338074 37.8031890811316),POINT(-122.2487796 37.7927143)
8,201804181813101265,752,2018-04-18 18:13:10+00:00,13th St at Franklin St,338,2018-04-18 18:25:42+00:00,10th Ave at E 15th St,222,1265,,Subscriber,,37.80318908113163,-122.27057933807372,37.7927143,-122.2487796,1982,Other,No,POINT(-122.270579338074 37.8031890811316),POINT(-122.2487796 37.7927143)
9,201803061706121377,664,2018-03-06 17:06:12+00:00,21st Ave at International Blvd,224,2018-03-06 17:17:17+00:00,10th Ave at E 15th St,222,1377,,Subscriber,,37.7851566,-122.2389151,37.7927143,-122.2487796,1982,Male,Yes,POINT(-122.2389151 37.7851566),POINT(-122.2487796 37.7927143)
